序号,英文问题,英文回答
18,What is the NOC-SOC collaboration solution of Huawei's intelligent O&M? What are the benefits of NOC-SOC collaboration? Which carriers have deployed and used the solution?,"NOC-SOC collaboration (collaboration between AUTIN and SmartCare) aims to reduce service loss during network fault handling. After a network fault occurs, AUTIN sends site and alarm information to SmartCare and obtains the number of affected users and traffic loss from SmartCare. Then, AUTIN determines the fault that should be preferentially rectified based on the severity of the impact on services. In the future, more NOC-SOC collaboration solutions will be available. For example, after a user complain is received, SmartCare uses AUTIN to analyze the root causes of network faults and rectify the faults promptly to reduce user complaints. If service monitoring detects that user experience deteriorates, SmartCare uses AUTIN to analyze the root causes of network faults and rectify the faults promptly to reduce user complaints.
Currently, the NOC-SOC collaboration mode has been applied in AIS Thailand and HKT, and will be further verified in XL Indonesia and ET Egypt."
19,"If MV customer experience platforms exist on the live network, does AUTIN need to interconnect with these platforms? Does Huawei AUTIN provide the interconnection service?","Huawei AUTIN is capable of integrating and interconnecting with third-party SOC platforms. Huawei AUTIN/SmartCare have been deployed at many sites around the world, but there are few MV scenarios. In 2023, Huawei starts to build the interconnection capability of Huawei AUTIN and SmartCare. In terms of strategy, MV scenarios are not considered currently.
Key message for the market: Huawei can develop the capabilities required in MV interconnection scenarios, but the cost is high. The data and interfaces of the NOC-SOC collaboration solution are non-standard, and the algorithms used to converge multi-dimensional network and service experience data are complex and have high technical requirements, resulting in high investment in development, design, and optimization."
20, What is the business monetization model for existing sites deployed with AUTIN and SmartCare?,"Expansion strategies:
1.Mutual marketing: For the 69 subnets with AUTIN but without SmartCare or the 111 subnets with SmartCare but1without AUTIN, separately sell AUTIN and SmartCare through collaboration.
2.Collaborative operations: For 83 subnets where AUTIN and SmartCare have been deployed, sell AUTIN andSmartCare as operation offerings (to be released).
Expansion strategies:
1.Value filling: Build diferentiated competitiveness throuah the combination of NOC and SoC. but do not promise extraKPls/SLAs. lmplement value flling and commercial price premium in renewed contracts (to cope with pricereduction)/new contracts (to cope with low-price competition).
2.Add-on sales: ln 2023, pilot the design of new offerings for customer-oriented business indicators(commitments are required) in the form of innovation projects based on NOC-SOC collaboration, and quide add-onsales in the case of independent budgets based on the original scope of managed services."
21,How can convergent data be used to support precision marketing?,"The SmartDecision solution provides four core capabilities: graph computing engine (Wind Graph) that is twice the computing power of the industry, 10+ scenario-based service function applications (APIs), service identification accuracy that is greater than 90%, and 200+ convergent data models. These capabilities can better match customer profiles and help carriers provide right offers and channels at the right time, improving the marketing conversion rate. The solution has excellent application cases in AIS Thailand, MTN South Africa, and China Mobile."
22,What are the data openness and orchestration capabilities of SmartCare?,"The SmartCare solution has launched the Smart DataCube product, which provides secure and easy-to-use data openness and low-code orchestration capabilities to support carriers' self-service capability improvement and digital team transformation. The Smart DataCube product has the following features:
1. Low threshold:
(1)With the value data models and low-code orchestration tools as the core, everyone can become a data analyst.
(2)Flexible and secure data exploration: Independent resource data exploration does not affect services on the live network.
2.Openness:
(1)Activation of idle data assets: 200+ data asset models are provided, which can be used out of the box to activate data in the OSS domain and assist service personnel in data-driven service decision-making.
(2)API platform and multiple data openness channels: Efficiently and flexibly support service data requirements.
(3)Hierarchical decoupling model: Improve the model reuse rate and reduce repeated construction.
3.Agility:
(1)Shorter data development period: The drag-and-drop low-code development platform shortens the average data development period from 45 days to 7 days.
(2)Cross-domain data integration and governance provide various OSS-domain and OSS+BSS+S business-network association data models to support quick application development.
(3)The product enables quick rollout of digital services and greatly improves CXO decision-making quality.
4.Digital equipment:
(1)Data asset visualization: Data assets are visible, searchable, and available.
(2)The product supports smooth evolution of the existing platform, integrates data orchestration development tool chains, and enables data operations."
23,What are the success stories of SmartCare in data monetization?,"In a project of XL Indonesia, we assisted the customer in revenue grid analysis, helped the customer shorten the data processing duration from weeks to days, and effectively improved the ARPU by 15%+. In a project of AIS Thailand, our digital engine helped the customer achieve the transformation from dependency on expert experience to dependency to decision intelligence (DI) and improved the ARPU by 10%+."
24, What solutions are available for experience management/NPS/satisfaction management? Can Huawei make value commitments to customers?,"The CEI+ indicators proposed by Huawei can help carriers better manage experience. The N-NPS detractor identification solution proposed by Huawei based on CEI+ indicators can be combined with the network satisfaction (N-NPS) and comprehensive experience index (CEI+). Better user experience management and improvement are provided based on the poor-QoE identification, demarcation, and locating capabilities provided by experience management and the processes of perception, cognition, decision-making, execution, and effect evaluation. The quasi-real-time visualization and management capabilities of Huawei SmartCare help carriers transform from reactive experience management to proactive experience management. This year, Huawei released the Value of Framework (VOF), which provides commitment capabilities for 10 value streams in domains including networks, users, and businesses."
25,Is a lightweight SmartCare solution available for small countries and small-scale networks? What is the minimum number of servers required?,The single-cabinet solution can be provided for scenarios with specific specifications (traffic < 100 Gbit/s; number of users < 1 million). The number of servers is less than 12. Two probes can be deployed in different equipment rooms. The overall investment is less than US$1 million. The following figure shows the solution details.
26,"The proportion of user experience and business indicators in the managed service bidding document keeps increasing. Can Huawei make end-to-end commitments on these indicators (traditional network availability, performance indicators, experience indicators, and business indicators)? [Answer this question from the perspective of product portfolios, reflecting the solution transformation from cost-driven to value-driven.]","The SmartCare solution can make commitments on experience indicators based on the VOF. The VOF value commitment involves E2E solutions, including SmartCare, B.E.S.T. Network, and intelligent O&M. Among the 10 VOF value scenarios released this year, we can assist customers in making indicator commitments in VoLTE experience assurance, VoNR experience assurance, high-value OTT (such as Facebook experience), and Tutela (P3 test). Of course, the due diligence (DD) must be strictly evaluated before commitment making.
Other key messages (for internal reference and not included in Q&A)
1. What are the characteristics of Huawei's N-NPS detractor identification? Huawei's N-NPS detractor identification solution is a user-level experience modeling solution based on long and short periods. The short-period solution uses the daily network experience index established by CEI+ to score the daily network experience of each user (comprehensive experience index). N-NPS detractor identification is a long-period user network satisfaction model established based on short periods to identify the possibility (probability) of user network satisfaction depreciation. Customers can better manage and improve user experience based on the probability of long-period network satisfaction depreciation, short-period comprehensive experience index, and poor-QoE identification, demarcation, and locating capabilities provided by CEI+ scenario-based experience management, as well as the perception, cognition, decision-making, execution, and effect evaluation processes. 2. What is the relationship between N-NPS and CEI+? Huawei's N-NPS detractor identification solution uses the experience feature indicator data of CEI+ as the basic input. Therefore, to support N-NPS detractor identification, the CEI+ UC must be deployed in advance so that necessary experience feature indicator data is available and can serve as the input of training data for the network satisfaction model. 3. What is the business model for CEI+ to provide N-NPS? What is the charge mode? For Huawei's N-NPS detractor identification solution, the software+operation service business model is recommended. The software provides basic functions, and the operation service optimizes the model to meet model accuracy requirements. It is recommended that software licenses be controlled by the number of users. 4. Can the N-NPS detractor identification solution fit users' N-NPS survey data and promise the improvement of group N-NPS indicators? The N-NPS detractor identification solution constructs binary labels (detraction: 0–6 points/non-detraction: 7–10 points) based on the N-NPS survey data (0–10 points) and then performs user-level network satisfaction modeling. A binary classification algorithm model is used, which does not fit N-NPS scores. In addition, because N-NPS survey data is subjective and random, data cleaning is necessary (usually mandatory) for N-NPS survey samples. That is, samples that may be randomly scored are deleted, and only high-quality survey samples are retained and used as labeled samples for training and evaluating the network satisfaction model. The N-NPS detractor identification solution helps identify users with a high probability of detraction. Based on the short-period CEI experience index, this solution provides guidance for customers to accurately optimize network experience and reduce the number of detractors on the network. However, the N-NPS indicator improvement cannot be promised because the subjectivity and randomness of N-NPS indicators cannot be eliminated and the indicators are affected by tariffs and services."
27,"To meet the requirements of AI and computing power networks, large-scale DC construction is required. The power consumption of ICT equipment rooms on the live network is high. What innovative energy saving solutions does Huawei provide to help customers save electricity fees?","Huawei's innovative energy saving solutions promoted in 2023 include the power module (FusionPower), EHU, and extended-range cooling solution.
The FusionPower solution has gone live in and outside China. It can deliver the highest full-link energy efficiency of 97.8% (VS industry level of 94.5%) and save the space required by 40%+. The EHU solution focuses on free cooling and energy saving, achieving a PUE of less than 1.2 (reduced by 14%) and improving the WUE by 33%. The extended-range cooling solution is mainly promoted in China and piloted in projects outside China (such as Asia Pacific). The solution optimizes the control logic based on the cool water system to reduce electricity fees through staggering electricity usage in the multistep electricity price (MEP) market, reduce the low-efficiency operation time of chillers, and improve the system energy efficiency. In some markets, PV chillers can be used to replace traditional chillers to further enhance power saving."
28,Can Huawei's EHU and FusionPower solutions adapt to DC reconstruction scenarios?,"The EHU and FusionPower solutions involve large-size equipment and have specific requirements on the DC site. In a DC reconstruction project, whether the basic conditions are met must be confirmed in advance.
When the EHU solution is used for DC reconstruction, the following factors need to be considered: installation mode, floor height, surrounding maintenance space, structure load-bearing capacity, softened water, and outlet air pipe installation route. When the FusionPower solution is used for DC reconstruction, the space size and basic load-bearing capacity need to be considered. For details, see the installation guide of the corresponding product."
29,What are the differences between the construction requirements of colo DCs and those of ICT self-use DCs?,"The construction requirements of colo DCs and those of ICT self-use DCs originate from service requirements, and therefore they differ greatly in key indicators that customers are concerned about, such as the TTM, PUE, and TCO.
Colo services are evaluated by the cabinet quantity/U height in limited space, single-cabinet deployment capacity, and monthly revenue. Therefore, the rack usage efficiency, power density, availability, TTM, and PUE are the main concerns. ICT self-use DCs are used to support new service rollout or network evolution. Simplified O&M, PUE, and power mode support (AC/DC convergence) are the main concerns. In certain scenarios, the power density and TTM are also concerned, and need to be further analyzed."
30,"How does Huawei evaluate and guarantee the ROI of site reconstruction for carriers, especially the ROI of the PV deployment solution?","The ROI of the PV deployment solution is evaluated and calculated based on the investment, O&M costs, energy revenue, and subsidy policies of the PV system. PV benefit calculation is a complex task, and needs to be performed in consideration of the PV power system conditions, including the illumination intensity, weather conditions, system design, and O&M. The following factors also need to be considered: electricity price change, policies, and service life and depreciation of the PV system.
For the ROI assurance of the PV deployment solution, the stability and long-term benefits of the ROI of the PV system are two key factors. From the perspective of efficient and reliable operation of the PV system throughout the 25-year lifecycle, proper system design, high-reliability and high-quality PV modules, high-reliability power supply system, and scientific O&M methods are used to ensure the achievement of the ROI target of the PV deployment solution."
31,"Currently, carriers' sites are facing great cost pressure. What competitive solutions can Huawei offer in terms of energy saving, PV deployment, and tower resource optimization?","Huawei establishes energy saving standards for the carrier market and industry market, develops comprehensive green target network solutions, and builds green, low-carbon, efficient, and secure target networks. Huawei launches scenario-based solutions such as green sites, green equipment rooms/data centers, and green O&M, including network-level energy saving operation and evaluation, site PV deployment/equipment room PV deployment/PV plants, hybrid power supply, and equipment room infrastructure reconstruction solutions. Based on in-depth understanding of networks and energy, Huawei develops energy-saving reconstruction solutions that integrate products, platforms, and service systems. During the reconstruction, hierarchical network-wide evaluation and reconstruction are performed to ensure network robustness.
To address the challenges of high tower delivery costs and slow site deployment, Huawei launches innovative solutions such as ZipSite, TubeSite, and SlimSite through integration design, on-tower installation, front-end and back-end collaboration, and global resource optimization, helping carriers quickly deploy sites at reasonable costs."
32,What solutions can Huawei provide for the digitalization of dumb site resources?,"Currently, a large number of equipment rooms have issues such as disordered device layout, uncleared retired devices, and lack of intelligent monitoring methods for energy infrastructure. As a result, customers face pain points such as low equipment room usage efficiency, high security operation risks, and high OPEX. To address these issues, Huawei launches solutions such as digitalization of dumb optical cable resources and intelligent sites. Dumb resources, such as optical cables, pipelines, power supply systems, cooling systems, diesel generators, and storage batteries, are scientifically managed and digitally packaged to improve the overall resource utilization, implementing visualized and manageable dumb resources and intelligent site operations."
33,Site anti-theft is of great importance in Africa. What solutions can Huawei provide to support site anti-theft?,"To cope with the theft of site auxiliary facilities in Africa, Huawei customizes the following solutions:
High-security cabinets: Such cabinets use anti-theft composite materials and are fully sealed. The cabinets integrate air conditioners and electronic locks to adapt to high- and low-temperature environments, and have excellent waterproof, dustproof, anti-impact, picklock-proof, and anti-cut performance.
New material: New silicon carbide epoxy materials are being researched based on the epoxy resin material to enhance physical wear resistance and heat conductivity and reduce battery theft.
Proper planning and design: In the site planning phase, security factors are included in the 6D comprehensive score calculation as a dimension. Facility locations and passages are properly set to reduce the risk of theft."
34,Some carriers have requirements on the specifications of the PV module support. How does Huawei reduce costs while meeting specification requirements?,"1.Huawei standard supports adapt to mainstream international design standards, such as American, European, and Chinese standards. Chinese steel is preferentially used. DDP one-stop logistics enables cost-efficient and fast batch delivery.
2.Both standard and upgraded PV module supports are developed to meet the pressure resistance requirements of structures under high, medium, and low wind speeds. Solar energy can be deployed in various typical scenarios, such as rooftops, grounds, and containers.
3.Huawei supports mainly use integrated components and assembled lightweight steel structure. The foundation preferentially uses cast-in-place concrete-free solutions, such as screw piles and prefabricated clump weight. No crane is required for construction, and the service quality can be guaranteed.
4.Based on customers' customized scenario requirements, Huawei provides full-process professional services, including end-to-end consulting and requirement planning, design and certification, survey, and delivery."
35,"Service security is the most critical factor in CO equipment room reconstruction. How does Huawei ensure secure service cutover? How can carriers persuade important enterprise customers, such as banks, to accept device rectification?","1. Precise evaluation: optimal solution, lowest CAPEX+OPEX, shortest ROI, and experience of 100 + projects around the world.
2. Simplified design: 300+ site design models and online design tools, improving the design efficiency by 30%+ and accuracy by 50%+.
3. High-quality verification: cloud-based verification+FOA verification, ensuring solution accuracy and batch delivery.
4. Efficient implementation: Digital site survey+SOP-based operations+online quality management, ensuring safe, high-quality, and efficient construction."
36,"Currently, carriers have high requirements on the site deployment speed. What solutions can Huawei provide to improve the site deployment efficiency?","The main factors that hinder the site deployment speed include difficulties in site acquisition and material completeness, and long construction periods. Huawei's scenario-based sites of new forms can accelerate site acquisition and deployment. PoleSite is simplified and one pole can be used for multiple purposes. TubeSite is environment-friendly and occupies a small area. FRP towers are 30% lighter than traditional towers, accelerating site acquisition in urban areas. The tower structure is downsized and the tower design is optimized, reducing the foot distance by 40% and reducing site civil engineering and auxiliary facilities. The screw pile foundation is free of excavation and concrete, shortening the construction period. In addition, Huawei has 20 years of extensive site deployment experience and localized professional delivery teams. Huawei's ISDP enables integrated delivery and shortens the end-to-end TTM by 30%."
37,"In Africa, site auxiliary facilities are prone to theft, affecting the site availability. What solutions can Huawei offer to improve the current situation?","To cope with the theft of site auxiliary facilities in Africa, Huawei customizes the following solutions:
1. High-security cabinets. Such cabinets use anti-theft composite materials and are fully sealed. The cabinets integrate air conditioners and electronic locks to adapt to high- and low-temperature environments, and have excellent waterproof, dustproof, anti-impact, picklock-proof, and anti-cut performance.
2. Integrated design. Anti-impact (hammer), picklock-proof (common crowbar), and anti-cut (angle grinder and hacksaw), with a comprehensive anti-theft time of 40 minutes.
3. Hidden electronic anti-theft lock.
4. Integrated air conditioner. New silicon carbide epoxy materials are being researched based on the epoxy resin material to enhance physical wear resistance and heat conductivity and reduce battery theft.
5. Proper planning and design: In the site planning phase, security factors are included in the 6D comprehensive score calculation as a dimension. Facility locations and passages are properly set to reduce the risk of theft."
38,What solutions can Huawei provide for site infrastructure O&M?,"Site energy is an important infrastructure for carriers and towercos. Against the backdrop of energy saving and emission reduction, customers are facing challenges such as sharp increase in energy consumption caused by the deployment of new technologies such as 5G, insufficient capabilities of traditional energy monitoring, and low O&M efficiency. To address these challenges, Huawei provides the digital energy O&M solution, which integrates big data and AI technologies to implement efficient O&M and digital operations of site energy. The framework of the digital energy O&M solution consists of the basic O&M service package and value-added operation service package.
1. The basic O&M service package provides services including intelligent monitoring of energy devices, AI-assisted inspection, emergency repair, and digital refueling.
2. The value-added operation service package provides services including visualized site energy consumption management, identification and optimization of abnormal energy consumption, precise site energy consumption planning, and site asset check.
Based on the OWS platform, the network-wide site energy consumption & KPI visualization solution is provided. By combining offline and online data, this solution establishes a single-site energy consumption baseline and detects abnormal energy consumption in time. The app helps the O&M team quickly check site device assets and implement digital asset management. The industry-leading PhotonMind algorithm provides planning support for carriers to accurately invest in energy reconstruction.
The value of the solution has been fully verified in multiple energy O&M projects around the world. It can shorten the energy-caused site breakdown duration by 10%, reduce abnormal energy consumption by 30%, and lower the battery reconstruction investment by 10%."
39,,
40,,
41,,
42,,
43,,
