序号,中文问题,中文回答
11,华为融合计费解决方案是否支持公有云部署？是否支持在第三方云上部署和集成？,华为融合计费已经实现应用与“Infrastructure”解耦，可支持多种云部署，包括私有云，公有云。同时华为融合计费也已经实现与第三方CaaS的集成，包括华为CCE，VMWare Tanzu，Google GKE。 
12,华为融合计费解决方案在融合能力上哪些竞争优势？,华为融合计费在业务、网络、架构等方面实现了全融合，一套平台可以支持客户全业务。华为融合计费有70多个预付费&后付费融合Reference，同时在埃及TE、埃塞电信、阿根廷电信、马来电信等多个运营商实现了移动&固网&TV等多业务融合业务。华为融合计费能帮助客户降低离网50%，降低OPEX30% (阿根廷电信)。能快速帮助客户开展To B新业务以及Telco & NonTelco融合业务（肯尼亚电信）。
13,我们已经买了一堆华为的各种平台工具，同时每年还购买华为的精品网专业服务，如何能把工具平台整合应用起来得到更大的价值？,华为构建了“1+1+N”的系统化精品网服务架构，通过体维优流程协同的方式，把当前存量的工具平台进行拉通，整合成统一的数字化平台底座。而针对现网不同业务和场景的需求，通过平台能力+专业服务的方式在各类场景下提供用户的极致体验。
14,华为精品网服务能否承诺终端用户的体验提升以及相应的商业收益？,"实际中不同的业务对于体验的要求不尽相同，比如游戏类业务对时延敏感，短视频类业务对下行速率要求高，直播类业务需要上行质量的保障，华为可以和运营商一起先确定具体的业务体验需求和衡量指标标准，基于体优一体化的方案，有针对性进行建模拟合，可以承诺对最终用户的体验提升和闭环。
影响商业收益的因素比较多，商业提升是一个系统性的工程，良好的网络和用户体验是商业成功的必要条件，可以助力商业指标的提升。华为可以和运营商一起，及时洞察短板，共商解决方案和提升路径。"
15,精品网服务用到的黑科技和相关的工具平台可否单独销售？,精品网服务是以整体解决方案形式进行销售的，因为基于华为的理解，黑科技以及工具平台都是辅助的技术和能力，如果结合华为专家团队提供的专业服务，可以发挥出更大的价值，带来更好的收益。
16,"华为智能运维方案是否能够做到端到端全域管理？
是否支持多厂家（Multi-Vendor）维护？
是否支持如FBB和MBB多域运维联动？","数据采集MV全面具备，拓扑还原12个主流组网/35个主流子场景MV已具备，单跨域场景监控&告警关联MV均具备，故障诊断无线等单域初步构建，核心网/家宽/光接入预测预防开始支持MV，To H家宽运维&开通、To B专线运维等领域MV能力初步构建。
NOC与SOC协同目前主要通过AUTIN和SmartCare的协同来实现，AUTIN和SmartCare都支持MV的设备，因此NOC与SOC协同也是支持MV的。"
17,基于AI模型推荐故障根因，准确率有多高？,AI模型是需要基于项目实际网络数据进行训练调优的，以浙江移动为例，基于AI模型的故障根因推荐，会推荐3个故障根因，其中Top1根因准确率约70%，Top3（3个合计）根因准确率达93.86%。
18,"华为智能运维的NOC和SOC协同方案是什么？
NOC和SOC协同带来的价值是什么？
已经在哪些运营商部署使用？","NOC与SOC协同（AUTIN和SmartCare协同），是让网络故障的处理面向业务损失的减少，目前主要是网络发生故障后，AUTIN将站点和告警信息传递给SmartCare，从SmartCare获取到影响用户数和流量损失，然后根据这些业务影响的严重程度决定哪个故障应该优先修复。
未来会有更多的NOC和SOC协同方案，如用户投诉后，SmartCare通过AUTIN分析网络故障的根因是什么，及时修复网络故障，减少用户投诉；如业务监控发现用户体验下降后，SmartCare通过AUTIN分析网络故障的根因是什么，及时修复网络故障，减少用户投诉。
NOC与SOC协同的模式，目前在泰国AIS、HKT都有相关的实践，后续也计划在印尼XL和埃及ET进行进一步的验证。"
19,如果现网存在异厂商的客户体验平台，AUTIN是否要做对接，这类生意要不要做？,能力上具备和第三方SOC平台集成对接的基础，由于华为全球AUTIN/SmartCare的局点很多，实际上MV场景很少，2023年聚焦构建华为AUTIN和SmartCare的对接能力。策略上暂不考虑对MV场景。MV对接场景可以做，但成本会很高。因为NOC-SOC协同方案的数据及接口非标，且网络和业务体验多维数据的融合算法复杂门槛高，开发设计和调优投入较大。
20,已经有了AUTIN和SmartCare的存量局点，通过什么模式商业变现？,"拓展策略:
1.相互带货:对于有AUTIN无Smartcare，或者有Smartcare无AUTIN场景通过协同分别销售。
2.协同运营: 对于已有AUTIN和Smartcare的局点(71张)，以运营Offering (待发布)的形式组合销售。
拓展策略:
1.价值填充: 通过NOC和SOC的组合形成差异化竞争力，但不承诺额外的KPI/SLA，在续签(应对降价)/新签(应对低价竞争) 项目中做价值填充，商务溢价。
2.Add on销售: 23年以创新项目的形式，试点基于NOC和SOC协同后，面向客户的业务指标。设计新Offering，牵引独立预算在管理服务原有Scope的基础上做Add on销售。"
21,如何利用融合数据支持精准的市场营销？,基于SmartDecision的解决方案，我们有四个方面的核心能力，分别是：领先业界2倍算力的图计算引擎（Wind Graph）、10多个场景化业务功能API、90%多的业务识别准确率、200多个的融合数据模型，通过这4个方面的能力可以更好的匹配客户画像，协助运营商提供right offer，right time，right channel，提高营销转化率。我们在泰国AIS，南非MTN，中国移动都有较好的应用案例。
22,当前SmartCare的数据开放和编排能力如何？,"SmartCare上市了Smart DataCube产品提供安全易用的数据开放和低码化编排能力，支撑运营商的自服务能力提升和团队数字化转型，具体包括如下几个特点：
1.低门槛：
（1）以价值数据模型和低码化编排工具为核心，人人都能成为数据分析师；
（2）灵活安全的数据探索：隔离独立资源数据探索，不影响现网业务；
2.开放：
（1）激活沉默数据资产：自带200多个数据资产模型，开箱即用，激活O域数据，支撑业务人员以数据驱动业务决策；
（2）API平台以及多种数据开放途径：高效，灵活支撑业务数据述求；
（3）分层解耦模型：提高模型复用率，减少重复建设；
3.敏捷：
（1）降低数据开发周期：托拉拽低码开发平台，数据开发平均周期45天—7天；
（2）跨域数据集成治理，提供丰富的O域及O+B+S商网联动数据模型，支撑应用快速开发；
（3）使能数字化业务快速上线，极大提升CXO决策质量；
4.数字化装备：
（1）数据资产可视化：数据资产可见，可搜，可用。
（2）支撑存量平台平滑演进，叠加数据编排开发工具链，使能数据运营。"
23,SmartCare数据变现的成功案例？,我们在印尼XL的项目上协助客户进行了revenue的网格分析，协助客户提高数据处理效率，从“周”到“天”的效率提升，并有效提升ARPU 15%以上；我们在泰国AIS的项目上通过数字化引擎的支撑，助力客户从专家经验到基于DI（Decision Intelligence）的转型，并实现了ARPU的10%+的提升。
24,体验管理/NPS/满意度管理有哪些方案，华为是否可以为客户做价值承诺？,华为提出的CEI+指标能够助力运营商更好的进行体验管理，基于该指标华为提出的N-NPS贬损用户识别方案可结合网络满意度（NNPS）+综合体验指数（CEI+），基于体验管理提供的质差识别、定界定位的能力以及感知、认知、决策、执行、效果评估的流程，支撑更好的用户体验管理和提升。基于华为的SmartCare平台的准实时可视、可管能力，可以助力运营商从Reactive到Proactive的体验管理的转变。华为今年发布了VOF（Value of Framework），围绕10大价值流可以提供承诺能力，包括：面向网络、用户、商业等领域。
25,SmartCare是否有适合小国小网的轻量化方案，最小的配置多少台服务器？,可以提供支持一定规格的方案（流量<100Gbps，用户数<1M）可以提供单机柜的解决方案，服务器数量<12台，其中探针可以支持2个探针分别部署在不同的机房，具体如下，整体投资不足1MUSD。
26,管理服务标书中对用户体验和商业指标的比重越来越高，能否端到端承诺这些指标（传统的网络可用率、性能指标、体验指标和商业指标）？例如从全家桶角度答复，体现从成本驱动走向价值驱动的方案,针对体验的指标SmartCare解决方案可以基于VOF进行承诺，VOF的价值承诺是包括E2E的解决方案，包括：SmartCare、精品网、智能运维等，今年发布的10大VOF价值场景中，我么可以协助客户在VOLTE体验保障、VONR体验保障、高价值OTT（如：Facebook体验）、Tutela（P3测试）等内容进行指标承诺，当然在承诺之前还需要进行DD（Due Diligence）进行严格评估.
27,"华为的""N-NPS""贬损用户识别有什么特点？","华为的""N-NPS""贬损用户识别方案的特点是基于长短周期相结合的用户级体验建模方案，其中短周期方案是通过""CEI+""建立的天粒度的网络体验指数，对每个用户的天粒度的网络体验进行评分（综合体验指数)，""N-NPS""贬损用户识别属于长周期的用户网络满意度的模型，是以短周期为基础建立的用于识别用户网络满意度贬损的可能性(概率)。结合用户长周期网络满意度贬损的概率+短周期综合体验指数，并基于""CEI+""场景化体验管理提供的质差识别、定界定位的能力以及感知、认知、决策、执行、效果评估的流程，支撑客户更好的进行管理和提升用户的体验。"
28,"""N-NPS""跟""CEI+ ""是什么关系？","华为的""N-NPS""贬损用户识别方案是以""CEI+""的体验特征指标数据作为基础输入的方案，要提供""N-NPS""贬损用户识别能力提前部署""CEI+ UC""，以确保有必须的体验特征指标数据，提供网络满意度模型的训练数据的输入。"
29,"""CEI+""做""N-NPS""的商业模式是什么？如何收费？","华为的""N-NPS""贬损用户识别方案，建议以软件+运营服务相结合的商业模式，软件提供基础功能，运营服务对模型进行调优，确保达到一定的模型准确性。软件License建议以用户数为量纲。"
30,"""N-NPS""贬损识别方案是否可以拟合用户""N-NPS""调研数据，以及是否能够承诺群体""N-NPS""指标的提升？","""N-NPS""贬损用户识别方案是对用户""N-NPS""调研数据(0~10分)，按照贬损(0~6分)/非贬损(7~10分)构建二分类标签，再进行用户级的网络满意度建模，是一个二分类的算法模型，并不拟合""N-NPS""分数。同时，由于用户""N-NPS""调研数据存在主观性、随机性的原因，必要时(常常是必须)需要对""N-NPS""调研样本进行数据清洗，剔除其中可能存在的“乱打分”的部分样本，仅保留高质量的调研样本，作为标签样本再用于网络满意度模型的训练和评估。
""N-NPS""贬损识别方案可以帮助识别高概率的贬损用户，结合用户的短周期的""CEI""体验指数，指导客户进行更精准的网络体验优化，以减少网络中的贬损用户数量，但因为""N-NPS""指标本身有主观性、随机性的因素无法消除，会受到资费、服务等的影响，所以仍然无法承诺""N-NPS""指标的提升。"
31,面对 AI 与 算力网络需求带来DC规模建设，现网 ICT 机房能耗高，华为有哪些创新节能方案帮客户省电费？,"23年主推的创新节能方案有电力模块（FusionPower）、EHU及增程式制冷方案。
其中 FusionPower 方案中国区及海外版本均已上线，主打全链路最高能效 97.8%（vs 行业 94.5%）+ 省地40%多；EHU 主打免费冷却节能，PUE<1.2（降14%） + WUE 省水33%；增程式制冷方案当前主要面向中国区推广，海外（如亚太）选项目试点。该方案主打基于冷水系统做控制逻辑优化，实现阶梯电价市场错峰用电省电费，同时减少冷机低效运营时间，提升系统能效，另有部分市场可采用光伏冷机代替传统冷机，进一步提升省电表现。"
32,华为 EHU 和 电力模块方案能否适配DC改造场景？,"EHU和电力模块设备尺寸较大，对DC场地有一定要求，改造项目中必须提前确认基础条件是否满足。
EHU用于DC改造时，需考虑安装方式、层高、周围维护空间、结构承重、软化水及出风管安装路由等，电力模块用于DC改造时需考虑空间尺寸、基础承重等，详细信息请参考相应产品安装指导书。"
33,COLO DC与 ICT自用DC建设需求有哪些差异？,"""COLO DC"" 与ICT自用DC建设需求源于业务需求，由此在客户关注的关键指标如TTM、PUE、TCO等有较大差异。
""COLO""业务主要体现在有限空间内部署更多机柜/U高、单柜可部署容量、每月营收等，由此出架率、功率密度、可用性、TTM、PUE等是主要关注点；ICT自用DC主要支撑新业务上线或网络演进，极简运维、PUE、电源制式支持（AC/DC融合）是主要关注，功率密度和TTM有时也会关注，具体需结合实际做进一步分析。"
34,华为对运营商的站点改造ROI，尤其是叠光方案的ROI如何评估和保障？,"叠光方案的ROI的评估和测算，是通过对光伏发电系统的投资、运营和维护成本以及发电收益、补助政策等多种因素，综合计算得出投资回报率。光伏效益测算是一项复杂的工作，需要考虑到光伏发电系统的实际情况，包括光照强度、天气状况、系统设计和运营维护等因素。同时，还需要考虑到电价的变化和政策的影响，以及光伏发电系统的寿命和折旧等因素。
叠光方案ROI的保障，需要重点考虑光伏系统投资回报的稳定性和长期效益，从光伏系统25年全生命周期的高效可靠运行角度考虑，通过合理的系统设计、采用高可靠性、高质量的光伏组件、交付高可靠性的电力系统，以及科学的运营维护等手段来保障叠光方案投资收益目标的达成。"
35,目前运营商的站点面临比较大的成本压力，华为在节能、叠光以及铁塔资源优化上有哪些有竞争力的方案？,"华为面向运营商市场和行业市场建立节能标准，打造绿色目标网整体解决方案，建设绿色、低碳、高效、安全的网络目标网。推出绿色站点、绿色机房/数据中心和绿色运维等场景化方案，包含网络级节能运营和评估、站点叠光/机房叠光/光伏电站、混合供电和机房基础设施焕新改造等节能方案。华为基于对网络和能源的深刻理解，开发融合产品、平台和服务系统间协同的节能改造解决方案，在改造实施过程中通过分层分级的整网评估与改造来保障网络的健壮性。
针对铁塔交付成本高，建站慢的压力，华为通过集成设计，设备上塔，前后端协同，全球资源优化布局等方式，推出了zipsite，tubesite，slimsie等创新解决方案，帮助运营商以合理的成本快速建站。"
36,对于站点哑资源的数字化，华为有哪些方案建议？,当前大量机房存在设备布局混乱、退网设备未清理、能源基础设施无智能化监控手段等现象，导致客户面临机房使用效率低、安全运营风险高以及运维OPEX高等痛点，华为推出光缆哑资源数字化、智能站点等方案，通过对光缆、管线、电源系统、制冷系统、柴油发电机、蓄电池等哑资源设备进行科学治理与数字化武装，提升整体资源利用效率，实现哑资源可视可管和站点的数智化运营。
37,非洲站点的防盗是一个大问题，华为有什么方案支持？,为应对非洲站点配套设置被盗的情况，华为定制了如下方案：1、高安全性能柜，高安全性机柜采用防盗复合材料，全密闭设计，集成空调与电子锁，适应高温、低温环境，具备优异的防水、防尘、抗冲击、防撬、防切割性能。2、运用Epoxy环氧树脂材料，研究新型碳化硅Epoxy材料，增加物理抗磨特性和导热特性，减少电池被盗。3、合理规划和设计，在站点规划阶段，将安全因素作为一个维度列入6D综合评分计算，合理设置设施位置和通道，降低被盗风险。
38,有些运营商对叠光支架的指标有要求，如何保障同时如何降成本？,"1.华为标准支架适配美标、欧标、中标等国际主流设计标准，优先采用中国钢材，DDP一站式物流，可实现批量低成本快速交付；
2.已开发有标准版和升级版光伏支架，满足高、中低不同风速条件下的结构承载抗压需求，支持屋顶、地面、集装箱等多种典型场景下的太阳能部署；
3.华为支架主要采用一体成型构件，组装式轻钢结构，基础优先采用螺旋桩、预制配重块等免现浇混凝土方案，免吊车施工，服务质量有保障；
4.针对客户定制化场景需求，可提供端到端的咨询与需求规划、设计及认证、勘测及交付等全流程专业服务。"
39,CO机房改造中业务安全是一个最关键的要素，华为如何保障业务安全割接？运营商如何说服一些重要企业如银行等接受设备整改？,"1.精准评估：方案最优 CAPEX+OPEX最省，ROI最短，全球100多个项目经验。
2.极简设计：300多个站点设计模型，在线设计工具。设计效率提升30%多，准确率提升50%多。
3.高质验证:云上验证+实验局验证。多重验证确保方案正确和批量交付。
4.高效实施:数字化工勘+SOP作业+在线质量管理，确保施工安全高质高效。"
40,目前运营商对建站速度要求较高，华为有哪些方案可以提升建站效率？,阻碍建站速度的主要因素是传统站点站址获取难，物料齐套难，施工周期长。华为场景化新形态站点可以加速站点获取与部署。“PoleSite” 极简，一杆多用；“TubeSite”环境友好，占地面积小，FRP塔重量轻30%，加速城区站点获取。瘦身塔结构优化设计，根开降低40%，减少站点土建与配套。螺旋桩基础免开挖，免混凝土，缩短施工周期。同时华为具备20年丰富建站经验与本地化专业交付团队，基于ISDP数字化平台，一体化集成交付，端到端TTM缩短30%。
41, 在非洲，站点配套设施容易被盗，影响站点可用率，华为有哪些方案可以改善当前情况？,"为应对非洲站点配套设置被盗的情况，华为定制了如下方案：
1.高安全性能柜。高安全性机柜采用防盗复合材料，全密闭设计，集成空调与电子锁，适应高温、低温环境，具备优异的防水、防尘、抗冲击、防撬、防切割性能。
2.一体化集成设计。抗冲击（手锤），防撬（普通撬棍)，防切割（角磨机、钢锯），综合防盗时间：40分钟。
3.隐藏式电子防盗锁。
4.集成空调。运用Epoxy环氧树脂材料，研究新型碳化硅Epoxy材料，增加物理抗磨特性和导热特性，减少电池被盗。
5.合理规划和设计，在站点规划阶段，将安全因素作为一个维度列入6D综合评分计算，合理设置设施位置和通道，降低被盗风险。"
42,关于站点基础设施的运维，华为能提供什么解决方案？,"站点能源是当前运营商/塔商的重要基础设施，在节能减排的大背景下，客户还面临了5G等新技术部署带来的能耗剧增、传统能源监控能力不足、运维效率低下等挑战，为此，华为提供了能源数字化运维解决方案，引入大数据和AI技术，实现站点能源高效运维和数字化运营。能源数字化运营运维解决方案框架包括基础运维服务包和增值运营服务包两大部分，其中：
1.基础运维服务包提供了能源设备智能监控、AI辅助巡检、故障抢修和数字化加油等服务。
2.增值运营服务包提供了站点能耗可视化管理、异常能耗识别和优化、站点能耗精准规划、站点资产盘查等服务。基于OWS平台，该方案提供了全网站点能耗和KPI可视化方案，通过线下和线上数据结合，构建单站能耗基线并及时发现异常能耗；以APP辅助运维团队快速清查站点设备资产，实现资产数字化管理，并通过业界先进的PhotonMIND算法，为运营商精准进行能源改造投资提供规划支撑。
在全球多个能源运维项目中，该方案价值得到了充分验证，可缩短能源宕站时长达10%，减少异常能耗30%，优化电池改造投资10%"
43,,
